9439,10093,19532,2020-09-27
7105,3211,10316,2020-09-28
9167,4113,13280,2020-09-29
8987,3953,12940,2020-09-30
7323,3024,10347,2020-10-01
8456,4899,13355,2020-10-02
7031,6442,13473,2020-10-03
6390,5394,11784,2020-10-04
7948,3538,11486,2020-10-05
9903,4911,14814,2020-10-06
10519,5627,16146,2020-10-07
9862,5259,15121,2020-10-08
10494,8586,19080,2020-10-09
10039,12733,22772,2020-10-10
8444,9559,18003,2020-10-11
6090,2679,8769,2020-10-12
9472,4711,14183,2020-10-13
9413,4626,14039,2020-10-14
7911,3495,11406,2020-10-15
6917,3726,10643,2020-10-16
6648,6353,13001,2020-10-17
2962,1600,4562,2020-10-18
5037,1597,6634,2020-10-19
6283,1980,8263,2020-10-20
6843,2423,9266,2020-10-21
7846,3929,11775,2020-10-22
4581,1647,6228,2020-10-23
6334,4783,11117,2020-10-24
4683,2917,7600,2020-10-25
4679,1136,5815,2020-10-26
4451,1050,5501,2020-10-27
6590,2120,8710,2020-10-28
5601,1669,7270,2020-10-29
6049,2356,8405,2020-10-30
6922,4907,11829,2020-10-31
3498,1702,5200,2020-11-01
5539,1719,7258,2020-11-02
7465,3262,10727,2020-11-03
7470,3384,10854,2020-11-04
7569,3526,11095,2020-11-05
8800,5637,14437,2020-11-06
9938,11629,21567,2020-11-07
8165,8596,16761,2020-11-08
8232,4475,12707,2020-11-09
5891,2215,8106,2020-11-10
5895,1922,7817,2020-11-11
5970,2080,8050,2020-11-12
5270,1942,7212,2020-11-13
4090,2232,6322,2020-11-14
2116,824,2940,2020-11-15
4962,1415,6377,2020-11-16
4666,1228,5894,2020-11-17
5131,1423,6554,2020-11-18
5898,2360,8258,2020-11-19
6204,2702,8906,2020-11-20
4599,2409,7008,2020-11-21
2988,1422,4410,2020-11-22
4379,1322,5701,2020-11-23
1994,432,2426,2020-11-24
2283,577,2860,2020-11-25
2122,1073,3195,2020-11-26
3194,1587,4781,2020-11-27
3908,2626,6534,2020-11-28
3270,1630,4900,2020-11-29
2983,553,3536,2020-11-30
3387,646,4033,2020-12-01
3991,943,4934,2020-12-02
3845,1005,4850,2020-12-03
4330,1229,5559,2020-12-04
3864,1614,5478,2020-12-05
2786,1038,3824,2020-12-06
3487,759,4246,2020-12-07
3595,692,4287,2020-12-08
4722,1310,6032,2020-12-09
5241,1763,7004,2020-12-10
2856,621,3477,2020-12-11
1683,485,2168,2020-12-12
3042,1262,4304,2020-12-13
3299,698,3997,2020-12-14
3337,671,4008,2020-12-15
2877,573,3450,2020-12-16
3054,622,3676,2020-12-17
3637,920,4557,2020-12-18
3329,1355,4684,2020-12-19
2685,1230,3915,2020-12-20
3263,958,4221,2020-12-21
3467,942,4409,2020-12-22
3164,917,4081,2020-12-23
1226,217,1443,2020-12-24
508,233,741,2020-12-25
1532,635,2167,2020-12-26
2139,1050,3189,2020-12-27
2669,657,3326,2020-12-28
1925,464,2389,2020-12-29
1403,268,1671,2020-12-30
1936,489,2425,2020-12-31
707,234,941,2021-01-01
1587,503,2090,2021-01-02
1675,524,2199,2021-01-03
2456,454,2910,2021-01-04
2961,567,3528,2021-01-05
2934,623,3557,2021-01-06
2880,646,3526,2021-01-07
2905,594,3499,2021-01-08
3232,1290,4522,2021-01-09
2248,763,3011,2021-01-10
2627,465,3092,2021-01-11
3210,612,3822,2021-01-12
3397,655,4052,2021-01-13
2783,485,3268,2021-01-14
3015,708,3723,2021-01-15
2215,765,2980,2021-01-16
1700,527,2227,2021-01-17
2703,539,3242,2021-01-18
2500,318,2818,2021-01-19
2091,319,2410,2021-01-20
3234,602,3836,2021-01-21
2400,413,2813,2021-01-22
2478,716,3194,2021-01-23
2085,610,2695,2021-01-24
2358,344,2702,2021-01-25
1024,111,1135,2021-01-26
1839,198,2037,2021-01-27
2074,303,2377,2021-01-28
2418,485,2903,2021-01-29
1612,334,1946,2021-01-30
311,87,398,2021-01-31
1403,214,1617,2021-02-01
1833,243,2076,2021-02-02
2112,303,2415,2021-02-03
1350,161,1511,2021-02-04
1015,114,1129,2021-02-05
615,98,713,2021-02-06
455,76,531,2021-02-07
777,77,854,2021-02-08
1071,125,1196,2021-02-09
1027,131,1158,2021-02-10
1074,160,1234,2021-02-11
1379,250,1629,2021-02-12
518,121,639,2021-02-13
376,89,465,2021-02-14
294,30,324,2021-02-15
203,42,245,2021-02-16
463,66,529,2021-02-17
600,90,690,2021-02-18
722,121,843,2021-02-19
799,172,971,2021-02-20
625,155,780,2021-02-21
1171,176,1347,2021-02-22
2100,464,2564,2021-02-23
2412,482,2894,2021-02-24
2422,501,2923,2021-02-25
2816,809,3625,2021-02-26
3944,2848,6792,2021-02-27
2187,941,3128,2021-02-28
2630,513,3143,2021-03-01
3034,724,3758,2021-03-02
3907,1332,5239,2021-03-03
3028,665,3693,2021-03-04
3651,1352,5003,2021-03-05
3843,2514,6357,2021-03-06
3552,2449,6001,2021-03-07
5430,2949,8379,2021-03-08
6176,3582,9758,2021-03-09
4869,2038,6907,2021-03-10
5010,2094,7104,2021-03-11
4636,2064,6700,2021-03-12
5784,6168,11952,2021-03-13
2897,2050,4947,2021-03-14
1702,318,2020,2021-03-15
3099,835,3934,2021-03-16
2739,722,3461,2021-03-17
2582,831,3413,2021-03-18
4139,2057,6196,2021-03-19
5850,6233,12083,2021-03-20
6631,8802,15433,2021-03-21
6099,4343,10442,2021-03-22
3599,1255,4854,2021-03-23
5234,2372,7606,2021-03-24
4200,1428,5628,2021-03-25
4074,1679,5753,2021-03-26
6002,5993,11995,2021-03-27
3829,3052,6881,2021-03-28
5277,3013,8290,2021-03-29
5823,3296,9119,2021-03-30
4319,1593,5912,2021-03-31
3697,1350,5047,2021-04-01
5206,3286,8492,2021-04-02
7862,10489,18351,2021-04-03
6827,9406,16233,2021-04-04
6351,4215,10566,2021-04-05
8785,7208,15993,2021-04-06
8503,5921,14424,2021-04-07
3510,1346,4856,2021-04-08
6741,4683,11424,2021-04-09
2935,2033,4968,2021-04-10
5358,4750,10108,2021-04-11
6632,3553,10185,2021-04-12
6506,2776,9282,2021-04-13
5619,2011,7630,2021-04-14
5614,2278,7892,2021-04-15
6395,3721,10116,2021-04-16
6507,6487,12994,2021-04-17
6291,5967,12258,2021-04-18
4523,1575,6098,2021-04-19
4421,1393,5814,2021-04-20
4505,1408,5913,2021-04-21
6610,3292,9902,2021-04-22
7415,4822,12237,2021-04-23
6995,6864,13859,2021-04-24
4619,3425,8044,2021-04-25
7899,5290,13189,2021-04-26
9434,7281,16715,2021-04-27
4593,1478,6071,2021-04-28
6073,2745,8818,2021-04-29
6818,4195,11013,2021-04-30
